timestamp,facility_id,facility_name,address,lat,lon,source_type,fuel_type,capacity_mw,generation_mw,consumption_mw,import_mw,export_mw,co2_lbs_per_mwh,operating_status,zone_id,allocation_pct,serves_zones,event_id,event_name,event_type,demand_multiplier,solar_multiplier,ai_alert
2026-04-11T19:00:00Z,FAC-001-ZA,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,220,0,220,0,1050,warning,downtown,9.73,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district,EVT-001,Tampa Bay Lightning Game,sports_event,1.18,0.0,Grid supplying extra 40MW to downtown for Lightning game. Solar offline. WTE + battery covering gap.
2026-04-11T19:00:00Z,FAC-004-ZA,TECO Lake Hancock Solar Farm,"Lake Hancock Rd Polk County FL",27.9800,-81.8500,generator,solar,74,0,0,0,0,0,offline,downtown,20.69,downtown|south_tampa|westshore|channel_district,EVT-001,Tampa Bay Lightning Game,sports_event,1.18,0.0,Solar offline after sunset. Zero contribution during evening events.
2026-04-11T19:00:00Z,FAC-007-ZA,TECO Hillsborough Solar Array,"Hillsborough County FL",27.8500,-82.3000,generator,solar,200,0,0,0,0,0,offline,downtown,25.32,downtown|ybor_city|westshore|port_tampa|channel_district,EVT-001,Tampa Bay Lightning Game,sports_event,1.18,0.0,Solar offline. WTE becomes critical nighttime source.
2026-04-11T19:00:00Z,FAC-008-ZA,Covanta Waste-to-Energy,"1010 Skipper Rd Tampa FL",28.0612,-82.4198,generator,waste_to_energy,47,12,0,0,12,180,online,downtown,17.02,downtown|ybor_city|west_tampa|tampa_heights|port_tampa,EVT-001,Tampa Bay Lightning Game,sports_event,1.18,0.0,WTE increased allocation to downtown. Most critical source at night during events.
2026-04-11T19:00:00Z,CON-ZA-001,Amalie Arena,"401 Channelside Dr Tampa FL",27.9427,-82.4519,consumer,electric,0,0,75,75,0,0,online,downtown,100.0,downtown,EVT-001,Tampa Bay Lightning Game,sports_event,1.18,0.0,Full game load. 75MW vs 35MW normal. Pre-charged battery discharging to cover spike.
2026-04-11T19:00:00Z,CON-ZA-003,Downtown Office District,"400 N Tampa St Tampa FL",27.9490,-82.4580,consumer,electric,0,0,98,98,0,0,online,downtown,100.0,downtown,EVT-001,Tampa Bay Lightning Game,sports_event,1.18,0.0,Post-work crowd + game night bars driving elevated downtown consumption.
2026-04-11T22:00:00Z,CON-ZB-001,Ybor Entertainment District,"1600 E 7th Ave Tampa FL",27.9589,-82.4370,consumer,electric,0,0,93,93,0,0,critical,ybor_city,100.0,ybor_city,EVT-002,Weekend Night Market,entertainment_event,1.35,1.0,CRITICAL: Night Market peak. Ybor at 98% capacity. Transformer at 94C. Controlled load shedding in non-critical blocks.
2026-04-11T22:00:00Z,FAC-001-ZB,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,91,0,91,0,1050,critical,ybor_city,4.43,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district,EVT-002,Weekend Night Market,entertainment_event,1.35,1.0,Ybor transformer at 94C. Failure imminent. Emergency reroute 20MW from channel_district.
2026-07-15T15:00:00Z,FAC-001-ZA,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,210,0,210,0,1050,critical,downtown,9.73,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district,EVT-003,Heat Wave Day 2,weather,1.22,1.15,CRITICAL: Heat wave driving citywide demand 22% above normal. Grid at 98%. Demand response activated.
2026-07-15T15:00:00Z,FAC-004-ZA,TECO Lake Hancock Solar Farm,"Lake Hancock Rd Polk County FL",27.9800,-81.8500,generator,solar,74,72,0,0,72,0,online,downtown,20.69,downtown|south_tampa|westshore|channel_district,EVT-003,Heat Wave Day 2,weather,1.22,1.15,Solar at near maximum — high irradiance during heat wave. Best generation day of year.
2026-07-15T15:00:00Z,FAC-007-ZF,TECO Hillsborough Solar Array,"Hillsborough County FL",27.8500,-82.3000,generator,solar,200,60,0,0,60,0,online,port_tampa,28.48,downtown|ybor_city|westshore|port_tampa|channel_district,EVT-003,Heat Wave Day 2,weather,1.22,1.15,Maximum solar to Port Tampa offsetting heat wave industrial surge.
2026-07-15T15:00:00Z,FAC-001-ZF,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,198,0,198,0,1050,critical,port_tampa,9.13,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district,EVT-003,Heat Wave Day 2,weather,1.22,1.15,CRITICAL: Port Tampa transformer at 97C. Battery at 2%. Failure imminent if load not reduced.
2026-07-15T15:00:00Z,CON-ZF-001,Port Tampa Cargo Operations,"1101 Channelside Dr Tampa FL",27.9188,-82.4312,consumer,electric,0,0,194,194,0,0,critical,port_tampa,100.0,port_tampa,EVT-003,Heat Wave Day 2,weather,1.22,1.15,Port Tampa heat wave load at 194MW vs normal 178MW. Industrial cooling demand surging.
2026-10-05T10:00:00Z,FAC-004-ZA,TECO Lake Hancock Solar Farm,"Lake Hancock Rd Polk County FL",27.9800,-81.8500,generator,solar,74,4,0,0,4,0,degraded,downtown,20.69,downtown|south_tampa|westshore|channel_district,EVT-004,Hurricane Approaching,weather,0.85,0.10,Solar dropping to 10% as hurricane clouds build. Will go fully offline in 4hrs.
2026-10-05T10:00:00Z,FAC-007-ZA,TECO Hillsborough Solar Array,"Hillsborough County FL",27.8500,-82.3000,generator,solar,200,8,0,0,8,0,degraded,downtown,25.32,downtown|ybor_city|westshore|port_tampa|channel_district,EVT-004,Hurricane Approaching,weather,0.85,0.10,Solar drastically reduced. Hurricane prep — all batteries charging to 100%.
2026-10-05T10:00:00Z,FAC-008-ZA,Covanta Waste-to-Energy,"1010 Skipper Rd Tampa FL",28.0612,-82.4198,generator,waste_to_energy,47,14,0,0,14,180,online,downtown,17.02,downtown|ybor_city|west_tampa|tampa_heights|port_tampa,EVT-004,Hurricane Approaching,weather,0.85,0.10,WTE at maximum. Most critical source as solar fails. Weather-independent 24/7 generation.
2026-10-05T10:00:00Z,FAC-008-ZF,Covanta Waste-to-Energy,"1010 Skipper Rd Tampa FL",28.0612,-82.4198,generator,waste_to_energy,47,15,0,0,15,180,online,port_tampa,17.02,downtown|ybor_city|west_tampa|tampa_heights|port_tampa,EVT-004,Hurricane Approaching,weather,0.85,0.10,WTE critical for Port Tampa as solar collapses. Repair crews pre-positioned at port.
2026-10-05T10:00:00Z,FAC-001-ZA,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,169,0,169,0,1050,warning,downtown,9.73,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district,EVT-004,Hurricane Approaching,weather,0.85,0.10,Hurricane watch. All batteries charging to 100%. Strategic grid reduction as solar compensates less.
2026-10-05T10:00:00Z,CON-ZA-003,Downtown Office District,"400 N Tampa St Tampa FL",27.9490,-82.4580,consumer,electric,0,0,120,120,0,0,online,downtown,100.0,downtown,EVT-004,Hurricane Approaching,weather,0.85,0.10,Demand reduced 15% as businesses close early for hurricane. Evacuation reducing load.
2026-01-25T14:00:00Z,FAC-001-ZA,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,245,0,245,0,1050,critical,downtown,9.73,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district,EVT-005,Gasparilla Festival,major_festival,1.35,1.0,CRITICAL: Gasparilla driving downtown 36% above normal. Grid at 99% citywide. Emergency TECO import active.
2026-01-25T14:00:00Z,FAC-004-ZA,TECO Lake Hancock Solar Farm,"Lake Hancock Rd Polk County FL",27.9800,-81.8500,generator,solar,74,55,0,0,55,0,online,downtown,20.69,downtown|south_tampa|westshore|channel_district,EVT-005,Gasparilla Festival,major_festival,1.35,1.0,Good January solar helping offset Gasparilla demand.
2026-01-25T14:00:00Z,FAC-008-ZA,Covanta Waste-to-Energy,"1010 Skipper Rd Tampa FL",28.0612,-82.4198,generator,waste_to_energy,47,15,0,0,15,180,online,downtown,17.02,downtown|ybor_city|west_tampa|tampa_heights|port_tampa,EVT-005,Gasparilla Festival,major_festival,1.35,1.0,WTE at maximum output for Gasparilla. Every MW counts during this event.
2026-01-25T14:00:00Z,CON-ZA-001,Amalie Arena,"401 Channelside Dr Tampa FL",27.9427,-82.4519,consumer,electric,0,0,68,68,0,0,online,downtown,100.0,downtown,EVT-005,Gasparilla Festival,major_festival,1.35,1.0,Amalie hosting Gasparilla events. Double normal consumption.
2026-01-25T14:00:00Z,CON-ZH-001,Channelside Entertainment,"615 Channelside Dr Tampa FL",27.9412,-82.4458,consumer,electric,0,0,65,65,0,0,online,channel_district,100.0,channel_district,EVT-005,Gasparilla Festival,major_festival,1.35,1.0,Channelside at max capacity during Gasparilla waterfront parade.
2026-06-01T12:00:00Z,FAC-001-ZF,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,195,0,195,0,1050,critical,port_tampa,9.13,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district,EVT-006,Multiple Cargo Ships Docking,industrial_surge,1.25,1.0,CRITICAL: 3 cargo ships docking simultaneously. Port Tampa at 97% capacity. Battery discharging. Emergency TECO import requested.
2026-06-01T12:00:00Z,FAC-005-ZF,TECO Polk Solar Farm,"Polk County FL",27.9500,-81.9200,generator,solar,150,38,0,0,38,0,online,port_tampa,29.66,downtown|west_tampa|westshore|port_tampa,EVT-006,Multiple Cargo Ships Docking,industrial_surge,1.25,1.0,Solar partially offsetting cargo surge but insufficient. Battery at 8%.
2026-06-01T12:00:00Z,CON-ZF-001,Port Tampa Cargo Operations,"1101 Channelside Dr Tampa FL",27.9188,-82.4312,consumer,electric,0,0,178,178,0,0,critical,port_tampa,100.0,port_tampa,EVT-006,Multiple Cargo Ships Docking,industrial_surge,1.25,1.0,Peak cargo load. 3 ships simultaneously drawing massive industrial power.
